filename,url,query
00000.jpg,https://tse2.mm.bing.net/th/id/OIP.AjfJp1vT74ES1sM_cqq8egHaIC?w=145&h=180&c=7&r=0&o=5&pid=1.7,Basholi Painting Jammu Kashmir
00001.jpg,https://tse1.mm.bing.net/th/id/OIP.eBO07edFMd5WY_JTbwmQtgHaEu?w=207&h=180&c=7&r=0&o=5&pid=1.7,Basholi Painting Jammu Kashmir
00002.jpg,https://tse1.mm.bing.net/th/id/OIP.IgVAtyd8c_lOPe1PTraYbgAAAA?w=115&h=125&c=7&r=0&o=5&pid=1.7,Basholi Painting Jammu Kashmir
00003.jpg,https://tse1.mm.bing.net/th/id/OIP.LgHhtwUMFDVOGLfuZtGdgQAAAA?w=244&h=159&c=7&r=0&o=5&pid=1.7,Basholi Painting Jammu Kashmir
00004.jpg,https://tse3.mm.bing.net/th/id/OIP.Jf1rYguYkDksTy-Cy1-ZfwHaFb?w=291&h=214&c=7&r=0&o=5&pid=1.7,Basholi Painting Jammu Kashmir
00005.jpg,https://tse1.mm.bing.net/th/id/OIP.MBq00TUrnboXaz-Tt0XhhAHaFj?w=285&h=214&c=7&r=0&o=5&pid=1.7,Basholi Painting Jammu Kashmir
00006.jpg,https://tse4.mm.bing.net/th/id/OIP.O75ZvPX7lLoaFf7QgrXilQHaHa?w=214&h=214&c=7&r=0&o=5&pid=1.7,Basholi Painting Jammu Kashmir
00007.jpg,https://tse2.mm.bing.net/th/id/OIP.VGAoS71mtb02SDJSK7EfXAHaNK?w=119&h=214&c=7&r=0&o=5&pid=1.7,Basholi Painting Jammu Kashmir
00008.jpg,https://tse3.mm.bing.net/th/id/OIP.Hf8EvJgkBKMpzyWz4G1xywHaE3?w=265&h=180&c=7&r=0&o=5&pid=1.7,Basholi Painting Jammu Kashmir
00009.jpg,https://tse2.mm.bing.net/th/id/OIP.Qe1n-vHl_sylKgIlcsX6ogHaEK?w=310&h=180&c=7&r=0&o=5&pid=1.7,Basholi Painting Jammu Kashmir
00010.jpg,https://tse4.mm.bing.net/th/id/OIP.SrciT5P7lWk4UrfkDPb6HQHaFj?w=232&h=180&c=7&r=0&o=5&pid=1.7,Basholi Painting Jammu Kashmir
00011.jpg,https://tse3.mm.bing.net/th/id/OIP.7p67cMf-PQRY5lQQpBmqGwHaHa?w=173&h=180&c=7&r=0&o=5&pid=1.7,Basholi Painting Jammu Kashmir
00012.jpg,https://tse1.mm.bing.net/th/id/OIP.dTtTjNjLOlJfhiwqeY_7wgHaHa?w=192&h=192&c=7&r=0&o=5&pid=1.7,Basholi Painting Jammu Kashmir
00013.jpg,https://tse4.mm.bing.net/th/id/OIP.biVQuC4m_wDm_x26VlgUuAHaE8?w=288&h=192&c=7&r=0&o=5&pid=1.7,Basholi Painting Jammu Kashmir
00014.jpg,https://tse1.mm.bing.net/th/id/OIP.Y993FL6J0h0FEstfnZjlogHaE6?w=290&h=192&c=7&r=0&o=5&pid=1.7,Basholi Painting Jammu Kashmir
00015.jpg,https://tse4.mm.bing.net/th/id/OIP.zFicWF9O7KB885CO0gxb0AHaJZ?w=145&h=184&c=7&r=0&o=5&pid=1.7,Basholi Painting Jammu Kashmir
00016.jpg,https://tse2.mm.bing.net/th/id/OIP.3RCvHW6FIxML-OI4tWy5TQHaE-?w=275&h=184&c=7&r=0&o=5&pid=1.7,Basholi Painting Jammu Kashmir
00017.jpg,https://tse1.mm.bing.net/th/id/OIP.nLWF0lDBLcoCOl9dolLG3AHaEx?w=286&h=184&c=7&r=0&o=5&pid=1.7,Basholi Painting Jammu Kashmir
00018.jpg,https://tse3.mm.bing.net/th/id/OIP.4oZ7k7kfbkL6upCzyKTzswHaE8?w=274&h=184&c=7&r=0&o=5&pid=1.7,Basholi Painting Jammu Kashmir
00019.jpg,https://tse1.mm.bing.net/th/id/OIP.mC4eRemFoYubI4h4EtcHLAHaGJ?w=223&h=185&c=7&r=0&o=5&pid=1.7,Basholi Painting Jammu Kashmir
00020.jpg,https://tse4.mm.bing.net/th/id/OIP.XNaIPoPobCOX09t-4-cpSwHaEK?w=330&h=185&c=7&r=0&o=5&pid=1.7,Basholi Painting Jammu Kashmir
00021.jpg,https://tse1.mm.bing.net/th/id/OIP.moF7jbNS6JX86_q_j8PDowHaK5?w=127&h=185&c=7&r=0&o=5&pid=1.7,Basholi Painting Jammu Kashmir
00022.jpg,https://tse2.mm.bing.net/th/id/OIP.uvPr7x8jD-9-HMOswrmlNQHaEl?w=300&h=185&c=7&r=0&o=5&pid=1.7,Basholi Painting Jammu Kashmir
00023.jpg,https://tse2.mm.bing.net/th/id/OIP.dUN8g8H97Up2-fIeiDOHZgHaDs?w=288&h=174&c=7&r=0&o=5&pid=1.7,Basholi Painting Jammu Kashmir
00024.jpg,https://tse1.mm.bing.net/th/id/OIP.saS5WiUvwnxlvpNfQ23b4wHaD0?w=287&h=179&c=7&r=0&o=5&pid=1.7,Basholi Painting Jammu Kashmir
00025.jpg,https://tse1.mm.bing.net/th/id/OIP.ExD-ttyugZ6Byfb9bgPinQHaFA?w=220&h=180&c=7&r=0&o=5&pid=1.7,Basholi Painting Jammu Kashmir
00026.jpg,https://tse2.mm.bing.net/th/id/OIP.d-lR7UmvkbmROt82ylVCmAHaF7?w=185&h=180&c=7&r=0&o=5&pid=1.7,Basholi Painting Jammu Kashmir
